#TYPE Selected.System.Management.Automation.PSCustomObject,
email_addresses,samaccountname
CLRCCRL@clrsask.onmicrosoft.com,(clr)CCRL
CLRCMcontractors@clrsask.onmicrosoft.com,(clr)CementMasonContractors
CLRCentec@clrsask.onmicrosoft.com,(clr)CentecElectric
CLRchemco@clrsask.onmicrosoft.com,(clr)Chemco
CLRChinookScaffold@clrsask.onmicrosoft.com,(clr)ChinookScaffold
CLRChristieMech@clrsask.onmicrosoft.com,(clr)ChristieMechanical
CLRCimcoRefrig@clrsask.onmicrosoft.com,(clr)CimcoRefrig
CLRCIMS@clrsask.onmicrosoft.com,(clr)CIMS
CLRCityMasonry@clrsask.onmicrosoft.com,(clr)CityMasonry
CLRCKMasonry@clrsask.onmicrosoft.com,(clr)CKMasonry
CLRClayburn@clrsask.onmicrosoft.com,(clr)ClayburnRefractories
CLRClearwaterEnergyService@clrsask.onmicrosoft.com,(clr)ClearwaterEnergyService
CLRCLRBOD@clrsask.onmicrosoft.com,(clr)CLRBoardofDirectors
CLRCLRcouncil@clrsask.onmicrosoft.com,(clr)CLRCouncil
CLRCLRCRANERENTALContr@clrsask.onmicrosoft.com,(clr)CLRCRANERENTALContr
CLRCLRElecCommCtrs@clrsask.onmicrosoft.com,(clr)CLRElecCommCtrs
CLRCLRMembers@clrsask.onmicrosoft.com,(clr)CLRMembers
CLRCLRMembers-CarpenterTradeDivision@clrsask.onmicrosoft.com,(clr)CLRMembers-CarpenterTradeDivision
CLRCLRMembers-CementMasonTradeDivision@clrsask.onmicrosoft.com,(clr)CLRMembers-CementMasonTradeDivision
CLRCLRMembers-IronworkerTradeDivision@clrsask.onmicrosoft.com,(clr)CLRMembers-IronworkerTradeDivision
CLRCLRMembers-LabourerTradeDivision@clrsask.onmicrosoft.com,(clr)CLRMembers-LabourerTradeDivision
CLRCLRMembers-MillwrightTradeDivision@clrsask.onmicrosoft.com,(clr)CLRMembers-MillwrightTradeDivision
CLRCLRMillwrightMembers@clrsask.onmicrosoft.com,(clr)CLRMillwrightMembers
CLRCoastalSteel@clrsask.onmicrosoft.com,(clr)CoastalSteel
CLRcodcagmcontractorsagm@clrsask.onmicrosoft.com,(clr)CODCAGMContractors2018
CLRcodcbod@clrsask.onmicrosoft.com,(clr)CODCBoardofDirectors
CLRCoeus@clrsask.onmicrosoft.com,(clr)CoeusElectric&ControlsLtd_
CLRCONSTRUCTIONOWNERSGROUP@clrsask.onmicrosoft.com,(clr)CONSTRUCTIONOWNERSGROUP
CLRCraneRentalContractors@clrsask.onmicrosoft.com,(clr)CraneRentalContractors
CLRCustomSteel@clrsask.onmicrosoft.com,(clr)CustomSteelErectorsLtd_
CLRDanrich@clrsask.onmicrosoft.com,(clr)DanrichEnvironmentalControlSystemsLtd_
CLRDeco@clrsask.onmicrosoft.com,(clr)DecoInteriors
CLRDMS@clrsask.onmicrosoft.com,(clr)DerksenMechanical
CLRDiscount@clrsask.onmicrosoft.com,(clr)DiscountPlumbing
CLRDominion@clrsask.onmicrosoft.com,(clr)DominionConstruction
CLRDoubleK@clrsask.onmicrosoft.com,(clr)DoubleK
CLRdrivercheck@clrsask.onmicrosoft.com,(clr)DrivercheckInc_
CLRESFox@clrsask.onmicrosoft.com,(clr)E.S.FoxLtd_
CLREco-Consulting@clrsask.onmicrosoft.com,(clr)Eco-Consulting
CLREdcoPH@clrsask.onmicrosoft.com,(clr)EdcoPlumbing&Heating
CLREdmontonExchanger@clrsask.onmicrosoft.com,(clr)EdmontonExchanger
CLRElance@clrsask.onmicrosoft.com,(clr)ElanceSteel
CLRELECCommCtrs@clrsask.onmicrosoft.com,(clr)ELECCommCtrs
CLRElectricalContractors@clrsask.onmicrosoft.com,(clr)ElectricalContractors
CLRElevatorCtrsSK@clrsask.onmicrosoft.com,(clr)ElevatorCtrsSK
CLREllisDon@clrsask.onmicrosoft.com,(clr)EllisDon
CLREllisMech@clrsask.onmicrosoft.com,(clr)EllisMechanical
CLREmpire@clrsask.onmicrosoft.com,(clr)EmpireIronWorks
CLREvraz@clrsask.onmicrosoft.com,(clr)Evraz
CLRFlaminioCeilings@clrsask.onmicrosoft.com,(clr)FlaminioCeilings
CLRFlynn.industrial@clrsask.onmicrosoft.com,(clr)FlynnIndustrial
CLRFndPilingContractors@clrsask.onmicrosoft.com,(clr)FoundationPilingContractors
CLRFrontierMasonry@clrsask.onmicrosoft.com,(clr)FrontierMasonry
CLRfsrmreports@clrsask.onmicrosoft.com,(clr)fsrmreports
CLRFullerAustin@clrsask.onmicrosoft.com,(clr)FullerAustin
CLRGabriel@clrsask.onmicrosoft.com,(clr)GabrielContracting
CLRganotecwest@clrsask.onmicrosoft.com,(clr)GanotecWest
CLRGBMobile@clrsask.onmicrosoft.com,(clr)GBMobile
CLRGETSCO@clrsask.onmicrosoft.com,(clr)GETSCOTechnicalServiceInc_
CLRGiesbrecht@clrsask.onmicrosoft.com,(clr)GiesbrechtCranes
CLRGlobe-Elite@clrsask.onmicrosoft.com,(clr)Globe-Elite
CLRGraceInst@clrsask.onmicrosoft.com,(clr)GraceInstrumentation
CLRHarrisRebar@clrsask.onmicrosoft.com,(clr)HarrisRebar
CLRHolly@clrsask.onmicrosoft.com,(clr)Holly
CLRHonest@clrsask.onmicrosoft.com,(clr)HonestPlumbing&Heating
CLRHoneywell@clrsask.onmicrosoft.com,(clr)Honeywell
CLRHortonCBI@clrsask.onmicrosoft.com,(clr)HortonCBI
CLRHubCity@clrsask.onmicrosoft.com,(clr)HubCitySteel
CLRHuberConstruction@clrsask.onmicrosoft.com,(clr)HuberConstruction
CLRIconConst@clrsask.onmicrosoft.com,(clr)IconConstruction
CLRICC@clrsask.onmicrosoft.com,(clr)IndustrialCorrosionControl
CLRIndScaff@clrsask.onmicrosoft.com,(clr)IndustrialScaffold
CLRInsightMasonry@clrsask.onmicrosoft.com,(clr)InsightMasonry
CLRInsulApp@clrsask.onmicrosoft.com,(clr)InsulationApplicators
CLRInsulatorContractors@clrsask.onmicrosoft.com,(clr)InsulatorContractors
CLRIns.Ind.Negot@clrsask.onmicrosoft.com,(clr)InsulatorIndustrialNegotiatingCommittee
CLRInsulcana@clrsask.onmicrosoft.com,(clr)Insulcana
CLRInterprovincial@clrsask.onmicrosoft.com,(clr)InterprovincialInsulationInc_
CLRIronWorkerCommercialContractors@clrsask.onmicrosoft.com,(clr)IronWorkerCommercialContractors
CLRIronWorkerContractors@clrsask.onmicrosoft.com,(clr)IronWorkerContractors
CLRIronWorkersNegCmtte@clrsask.onmicrosoft.com,(clr)IronWorkersNegCmtte
CLRITS.Health@clrsask.onmicrosoft.com,(clr)ITSOccupationalHealth
CLRJLPMasonry@clrsask.onmicrosoft.com,(clr)JLPMasonry
CLRJoyGlobal@clrsask.onmicrosoft.com,(clr)JoyGlobal
CLRkspotash@clrsask.onmicrosoft.com,(clr)K_SPostashCanada
CLRKaefer@clrsask.onmicrosoft.com,(clr)Kaefer
CLRKeller@clrsask.onmicrosoft.com,(clr)KellerFoundations
CLRkone@clrsask.onmicrosoft.com,(clr)KoneElevator
CLRKusy_sElec@clrsask.onmicrosoft.com,(clr)Kusy'sElectric
CLRLabourerContractors@clrsask.onmicrosoft.com,(clr)LabourerContractors
CLRLabourerNegotiatingCommittee@clrsask.onmicrosoft.com,(clr)LabourerNegotiatingCommittee
CLRLaframboise@clrsask.onmicrosoft.com,(clr)LaFramboise
CLRLairdElec@clrsask.onmicrosoft.com,(clr)LairdElectric
CLRLancaster@clrsask.onmicrosoft.com,(clr)Lancaster
CLRLaPrairieCrane@clrsask.onmicrosoft.com,(clr)LaPrairieCrane
CLRLiftAll@clrsask.onmicrosoft.com,(clr)LiftAllCrane
CLRLitzCranes@clrsask.onmicrosoft.com,(clr)LitzCranes
CLRLMICommittee@clrsask.onmicrosoft.com,(clr)LMICommittee
CLRLML@clrsask.onmicrosoft.com,(clr)LMLIndustrial
CLRMammoet@clrsask.onmicrosoft.com,(clr)Mammoet
CLRMarathon2010@clrsask.onmicrosoft.com,(clr)MarathonMechanical
CLRMaxRefractory@clrsask.onmicrosoft.com,(clr)MaxRefractory
CLRMBBPower@clrsask.onmicrosoft.com,(clr)MBBPowerServices
CLRmelloyindustrialservices@clrsask.onmicrosoft.com,(clr)MelloyIndustrialServicesInc_
CLRMichelsCanada@clrsask.onmicrosoft.com,(clr)MichelsCanada
CLRMicroInd@clrsask.onmicrosoft.com,(clr)MicroIndustrial
CLRMicronControls@clrsask.onmicrosoft.com,(clr)MicronControls
CLRMillConst@clrsask.onmicrosoft.com,(clr)MilleniumConst
CLRMillwrightContractors@clrsask.onmicrosoft.com,(clr)MillwrightContractors
CLRMillwrightNegotiatingCommittee@clrsask.onmicrosoft.com,(clr)MillwrightNegotiatingCommittee
CLRMNiagara@clrsask.onmicrosoft.com,(clr)ModernNiag
CLRMosaic@clrsask.onmicrosoft.com,(clr)MOSAIC
CLRMX2@clrsask.onmicrosoft.com,(clr)MX2Industrial
CLRNationalCrane@clrsask.onmicrosoft.com,(clr)NationalCrane
CLRNclra@clrsask.onmicrosoft.com,(clr)NCLRA
CLRnclra.work.ready@clrsask.onmicrosoft.com,(clr)NCRLA-CBTUWorkReady
CLRNCSG@clrsask.onmicrosoft.com,(clr)NCSGCrane
CLRNiteHawk@clrsask.onmicrosoft.com,(clr)NiteHawk
CLRNorthernCrane@clrsask.onmicrosoft.com,(clr)NorthernCrane
CLRO_ECommContractors@clrsask.onmicrosoft.com,(clr)O_ECOMMContractors
CLRO_EContractors@clrsask.onmicrosoft.com,(clr)O_EContractors
CLRO_EContractors-Industrial@clrsask.onmicrosoft.com,(clr)O_EContractors-Industrial
CLRotis@clrsask.onmicrosoft.com,(clr)OtisElevator
CLRpainteremployer@clrsask.onmicrosoft.com,(clr)PainterEmployers
CLRParkDerochie@clrsask.onmicrosoft.com,(clr)ParkDerochie
CLRPCLIndustrialConstructors@clrsask.onmicrosoft.com,(clr)PCLIndustrial
CLRPCLIntracon@clrsask.onmicrosoft.com,(clr)PCLIntracon
CLRPeakMech@clrsask.onmicrosoft.com,(clr)PeakMechanical
CLRPlumber_PipefitterContractors@clrsask.onmicrosoft.com,(clr)Plumber_PipefitterContractors
CLRPlumber_PipefitterINDContractors@clrsask.onmicrosoft.com,(clr)Plumber_PipefitterINDContractors
CLRPlumberComm.Contractors@clrsask.onmicrosoft.com,(clr)PlumberComm.Contractors
CLRpostmaster@clrsask.onmicrosoft.com,(clr)postmaster
CLRpotashcorp@clrsask.onmicrosoft.com,(clr)PotashCorporation
CLRPowCityMech@clrsask.onmicrosoft.com,(clr)PowCityMechanical
CLRPowerChief@clrsask.onmicrosoft.com,(clr)PowerChiefScaffolding
CLRPrairieCrane@clrsask.onmicrosoft.com,(clr)PrairieCrane
CLRPrecise@clrsask.onmicrosoft.com,(clr)PreciseMachine
CLRProMetal@clrsask.onmicrosoft.com,(clr)ProMetal
CLRPrymeIronInc@clrsask.onmicrosoft.com,(clr)PrymeIronInc_
CLRPSElec@clrsask.onmicrosoft.com,(clr)PSElectric
CLRRamSteel@clrsask.onmicrosoft.com,(clr)RamSteel
CLRreftech@clrsask.onmicrosoft.com,(clr)Reftech
CLRreginaelevator@clrsask.onmicrosoft.com,(clr)ReginaElevator
CLRRHI@clrsask.onmicrosoft.com,(clr)RHICanada
CLRRJSteel@clrsask.onmicrosoft.com,(clr)RJSteelErectors
CLRRKMServices@clrsask.onmicrosoft.com,(clr)RKMServices
CLRRoofer_SheetMetal@clrsask.onmicrosoft.com,(clr)Roofer_SheetMetal
CLRRPMCranes@clrsask.onmicrosoft.com,(clr)RPMCranes
CLRSafway@clrsask.onmicrosoft.com,(clr)Safway
CLRSaskBuildingTrades@clrsask.onmicrosoft.com,(clr)SaskBuildingTrades
CLRSaskpower@clrsask.onmicrosoft.com,(clr)SaskPower
CLRsbsadmins@clrsask.onmicrosoft.com,(clr)SBCanada
CLRScorpioMasonry@clrsask.onmicrosoft.com,(clr)ScorpioMasonry
CLRSecon@clrsask.onmicrosoft.com,(clr)SheetMetalCOMM
CLRSheetMetalComm@clrsask.onmicrosoft.com,(clr)SheetMetalIND
CLRSheetMetalIND@clrsask.onmicrosoft.com,(clr)SimElectric
CLRSimElec@clrsask.onmicrosoft.com,(clr)Skyhigh
CLRSKYHIGH@clrsask.onmicrosoft.com,(clr)Skylift
CLRSkylift@clrsask.onmicrosoft.com,(clr)SkylineSteel
CLRSkyline@clrsask.onmicrosoft.com,(clr)SM&W
CLRSMW@clrsask.onmicrosoft.com,(clr)SouthEastConstruction
CLRSplitSteel@clrsask.onmicrosoft.com,(clr)SplitSteel
CLRStandardMechanical@clrsask.onmicrosoft.com,(clr)StandardMechanical
CLRSteinhubl_sMasonry@clrsask.onmicrosoft.com,(clr)Steinhubl'sMasonry
CLRSterlingCrane@clrsask.onmicrosoft.com,(clr)SterlingCrane
CLRSuer_PollonMech@clrsask.onmicrosoft.com,(clr)Suer&PollonMechanical
CLRSunnyCorner@clrsask.onmicrosoft.com,(clr)SunnyCornerEnterprisesInc_
CLRSupreme@clrsask.onmicrosoft.com,(clr)SupremeSteel
CLRSystems@clrsask.onmicrosoft.com,(clr)SystemsScaffold
CLRTajIndustrial@clrsask.onmicrosoft.com,(clr)TajIndustrial(TMIF)Ltd
CLRTeamInd@clrsask.onmicrosoft.com,(clr)TeamIndustrial
CLRTesc@clrsask.onmicrosoft.com,(clr)Tesc
CLRTESCO@clrsask.onmicrosoft.com,(clr)Tesco
CLRThorpeBros@clrsask.onmicrosoft.com,(clr)ThorpeBros
CLRthorpecanada@clrsask.onmicrosoft.com,(clr)ThorpeCanada
CLRThorpeIndustries@clrsask.onmicrosoft.com,(clr)ThorpeRoofing
CLRThyssenKrupp@clrsask.onmicrosoft.com,(clr)ThyssenKruppElevator
CLRTitan@clrsask.onmicrosoft.com,(clr)Titan
CLRTIWSteelPlate@clrsask.onmicrosoft.com,(clr)TIWSteelPlateInc
CLRTPADistributionList@clrsask.onmicrosoft.com,(clr)TPADistributionList
CLRTraining-CODCOn-line@clrsask.onmicrosoft.com,(clr)Training-CODCOn-line
CLRTranscanada@clrsask.onmicrosoft.com,(clr)TransCanada
CLRUnionizedContractors@clrsask.onmicrosoft.com,(clr)UnionizedContractors
CLRUnistrut@clrsask.onmicrosoft.com,(clr)Unistrut
CLRVectorConst@clrsask.onmicrosoft.com,(clr)VectorConstruction
CLRVSL@clrsask.onmicrosoft.com,(clr)VSLCanada
CLRWaiward@clrsask.onmicrosoft.com,(clr)WaiwardSteelFabricators
CLRWaltersAlbericiJV@clrsask.onmicrosoft.com,(clr)WaltersAlbericiJV
CLRWFS@clrsask.onmicrosoft.com,(clr)WaltersField
CLRWee-Lift@clrsask.onmicrosoft.com,(clr)Wee-LiftCranes
CLRWestcor@clrsask.onmicrosoft.com,(clr)WestcorServices
CLRWesternPacific@clrsask.onmicrosoft.com,(clr)WesternPacific
CLRWesternRefractory@clrsask.onmicrosoft.com,(clr)WesternRefractory
CLRWSC@clrsask.onmicrosoft.com,(clr)WesternSystemControls
CLRWhiskeyJack@clrsask.onmicrosoft.com,(clr)WhiskeyJackCranes
CLRworkready.cbtu@clrsask.onmicrosoft.com,(clr)WorkReadyAdvisoryGroup
CLRworleyindustrial@clrsask.onmicrosoft.com,(clr)WorleyIndustrial
CLRworleyparson@clrsask.onmicrosoft.com,(clr)WorleyParsons
CLRyara@clrsask.onmicrosoft.com,(clr)Yara
clrts01@clrsask.onmicrosoft.com,Terminal Server - CLRTS01
