#TYPE Selected.System.Management.Automation.PSCustomObject
"mail","Name","SamAccountName"
"ELECCommCtrs@clrs.local","(clr) ELEC Comm Ctrs","(clr)ELECCommCtrs"
"ElectricalContractors@clrs.local","(clr) Electrical Contractors","(clr)ElectricalContractors"
"ElevatorCtrsSK@clrs.local","(clr) Elevator Ctrs SK","(clr)ElevatorCtrsSK"
"EllisMech@clrs.local","(clr) Ellis Mechanical","(clr)EllisMechanical"
"EllisDon@clrs.local","(clr) EllisDon","(clr)EllisDon"
"Evraz@clrs.local","(clr) Evraz","(clr)Evraz"
"fsrmreports@clrs.local","(clr) File Server Resource Manager Reports","(clr)fsrmreports"
"FlaminioCeilings@clrs.local","(clr) Flaminio Ceilings","(clr)FlaminioCeilings"
"Flynn.industrial@clrs.local","(clr) Flynn Industrial","(clr)FlynnIndustrial"
"FndPilingContractors@clrs.local","(clr) Foundation Piling Contractors","(clr)FoundationPilingContractors"
"FrontierMasonry@clrs.local","(clr) Frontier Masonry","(clr)FrontierMasonry"
"FullerAustin@clrs.local","(clr) Fuller Austin","(clr)FullerAustin"
"Gabriel@clrs.local","(clr) Gabriel Contracting","(clr)GabrielContracting"
"ganotecwest@clrs.local","(clr) GanotecWest","(clr)GanotecWest"
"GBMobile@clrs.local","(clr) GB Mobile","(clr)GBMobile"
"GETSCO@clrs.local","(clr) GETSCO Technical Service Inc.","(clr)GETSCOTechnicalServiceInc_"
"Giesbrecht@clrs.local","(clr) Giesbrecht Cranes","(clr)GiesbrechtCranes"
"Globe-Elite@clrs.local","(clr) Globe-Elite","(clr)Globe-Elite"
"GraceInst@clrs.local","(clr) Grace Instrumentation","(clr)GraceInstrumentation"
"HarrisRebar@clrs.local","(clr) Harris Rebar","(clr)HarrisRebar"
"Holly@clrs.local","(clr) Holly","(clr)Holly"
"Honest@clrs.local","(clr) Honest Plumbing & Heating","(clr)HonestPlumbing&Heating"
"Honeywell@clrs.local","(clr) Honeywell","(clr)Honeywell"
"HortonCBI@clrs.local","(clr) Horton CBI","(clr)HortonCBI"
"HuberConstruction@clrs.local","(clr) Huber Construction","(clr)HuberConstruction"
"IconConst@clrs.local","(clr) Icon Construction","(clr)IconConstruction"
"ICC@clrs.local","(clr) Industrial Corrosion Control","(clr)IndustrialCorrosionControl"
"IndScaff@clrs.local","(clr) Industrial Scaffold","(clr)IndustrialScaffold"
"InsightMasonry@clrs.local","(clr) Insight Masonry","(clr)InsightMasonry"
"InsulApp@clrs.local","(clr) Insulation Applicators","(clr)InsulationApplicators"
"InsulatorContractors@clrs.local","(clr) Insulator Contractors","(clr)InsulatorContractors"
"Ins.Ind.Negot@clrs.local","(clr) Insulator Industrial Negotiating Committee","(clr)InsulatorIndustrialNegotiatingCommittee"
"Insulcana@clrs.local","(clr) Insulcana","(clr)Insulcana"
"Interprovincial@clrs.local","(clr) Interprovincial Insulation Inc.","(clr)InterprovincialInsulationInc_"
"IronWorkerCommercialContractors@clrs.local","(clr) Iron Worker Commercial Contractors","(clr)IronWorkerCommercialContractors"
"IronWorkerContractors@clrs.local","(clr) Iron Worker Contractors","(clr)IronWorkerContractors"
"IronWorkersNegCmtte@clrs.local","(clr) Iron Workers Neg Cmtte","(clr)IronWorkersNegCmtte"
"ITS.Health@clrs.local","(clr) ITS Occupational Health","(clr)ITSOccupationalHealth"
"jacobs@clrs.local","(clr) Worley Industrial","(clr)WorleyIndustrial"
"JLPMasonry@clrs.local","(clr) JLP Masonry","(clr)JLPMasonry"
"JoyGlobal2@clrs.local","(clr) JoyGlobal","(clr)JoyGlobal"
"kspotash@clrs.local","(clr) K+S Postash Canada","(clr)K_SPostashCanada"
"Kaefer@clrs.local","(clr) Kaefer","(clr)Kaefer"
"Keller@clrs.local","(clr) Keller Foundations","(clr)KellerFoundations"
"kone@clrs.local","(clr) Kone Elevator","(clr)KoneElevator"
"Kusy'sElec@clrs.local","(clr) Kusy's Electric","(clr)Kusy'sElectric"
"LaPrairieCrane@clrs.local","(clr) La Prairie Crane","(clr)LaPrairieCrane"
"LabourerContractors@clrs.local","(clr) Labourer Contractors","(clr)LabourerContractors"
"LabourerNegotiatingCommittee@clrs.local","(clr) Labourer Negotiating Committee","(clr)LabourerNegotiatingCommittee"
"Laframboise@clrs.local","(clr) LaFramboise","(clr)LaFramboise"
"LairdElec@clrs.local","(clr) Laird Electric","(clr)LairdElectric"
"Lancaster@clrs.local","(clr) Lancaster","(clr)Lancaster"
"LiftAll@clrs.local","(clr) Lift All Crane","(clr)LiftAllCrane"
"LitzCranes@clrs.local","(clr) Litz Cranes","(clr)LitzCranes"
"LMICommittee@clrs.local","(clr) LMI Committee","(clr)LMICommittee"
"LML@clrs.local","(clr) LML Industrial","(clr)LMLIndustrial"
"Mammoet@clrs.local","(clr) Mammoet","(clr)Mammoet"
"Marathon2010@clrs.local","(clr) Marathon Mechanical","(clr)MarathonMechanical"
"MaxRefractory@clrs.local","(clr) Max Refractory","(clr)MaxRefractory"
"MBBPower@clrs.local","(clr) MBB Power Services","(clr)MBBPowerServices"
"melloyindustrialservices@clrs.local","(clr) Melloy Industrial Services Inc.","(clr)MelloyIndustrialServicesInc_"
"MichelsCanada@clrs.local","(clr) Michels Canada","(clr)MichelsCanada"
"MicronControls@clrs.local","(clr) Micron Controls","(clr)MicronControls"
"MillConst@clrs.local","(clr) Millenium Const","(clr)MilleniumConst"
"MillwrightContractors@clrs.local","(clr) Millwright Contractors","(clr)MillwrightContractors"
"MillwrightNegotiatingCommittee@clrs.local","(clr) Millwright Negotiating Committee","(clr)MillwrightNegotiatingCommittee"
"MNiagara@clrs.local","(clr) Modern Niag","(clr)ModernNiag"
"Mosaic@clrs.local","(clr) MOSAIC","(clr)MOSAIC"
"NationalCrane@clrs.local","(clr) National Crane","(clr)NationalCrane"
"Nclra@clrs.local","(clr) NCLRA","(clr)NCLRA"
"nclra.work.ready@clrs.local","(clr) NCRLA-CBTU Work Ready","(clr)NCRLA-CBTUWorkReady"
"NCSG@clrs.local","(clr) NCSG Crane","(clr)NCSGCrane"
"NorthernCrane@clrs.local","(clr) Northern Crane","(clr)NorthernCrane"
"O/ECommContractors@clrs.local","(clr) O/E COMM Contractors","(clr)O_ECOMMContractors"
"O/EContractors@clrs.local","(clr) O/E Contractors","(clr)O_EContractors"
"O/EContractors-Industrial@clrs.local","(clr) O/E Contractors - Industrial","(clr)O_EContractors-Industrial"
"otis@clrs.local","(clr) Otis Elevator","(clr)OtisElevator"
"painteremployer@clrs.local","(clr) Painter Employers","(clr)PainterEmployers"
"ParkDerochie@clrs.local","(clr) Park Derochie","(clr)ParkDerochie"
"PCLIndustrialConstructors@clrs.local","(clr) PCL Industrial","(clr)PCLIndustrial"
"PCLIntracon@clrs.local","(clr) PCL Intracon","(clr)PCLIntracon"
"PeakMech@clrs.local","(clr) Peak Mechanical","(clr)PeakMechanical"
"PlumberComm.Contractors@clrs.local","(clr) Plumber Comm. Contractors","(clr)PlumberComm.Contractors"
"Plumber/PipefitterContractors@clrs.local","(clr) Plumber/Pipefitter Contractors","(clr)Plumber_PipefitterContractors"
"Plumber/PipefitterINDContractors@clrs.local","(clr) Plumber/Pipefitter IND Contractors","(clr)Plumber_PipefitterINDContractors"
"postmaster@clrs.local","(clr) Postmaster and Abuse Reporting","(clr)postmaster"
"potashcorp@clrs.local","(clr) Potash Corporation","(clr)PotashCorporation"
"PowCityMech@clrs.local","(clr) Pow City Mechanical","(clr)PowCityMechanical"
"PowerChief@clrs.local","(clr) Power Chief Scaffolding","(clr)PowerChiefScaffolding"
"PrairieCrane2@clrs.local","(clr) Prairie Crane","(clr)PrairieCrane"
"Precise@clrs.local","(clr) Precise Machine","(clr)PreciseMachine"
"ProMetal@clrs.local","(clr) Pro Metal","(clr)ProMetal"
"PrymeIronInc@clrs.local","(clr) Pryme Iron Inc.","(clr)PrymeIronInc_"
"RJSteel@clrs.local","(clr) R J Steel Erectors","(clr)RJSteelErectors"
"PSElec@clrs.local","(clr) PS Electric","(clr)PSElectric"
"RamSteel@clrs.local","(clr) Ram Steel","(clr)RamSteel"
"reftech@clrs.local","(clr) Reftech","(clr)Reftech"
"reginaelevator@clrs.local","(clr) Regina Elevator","(clr)ReginaElevator"
"RHI@clrs.local","(clr) RHI Canada","(clr)RHICanada"
"RKMServices@clrs.local","(clr) RKM Services","(clr)RKMServices"
"RPMCranes@clrs.local","(clr) RPM Cranes","(clr)RPMCranes"
"SaskBuildingTrades@clrs.local","(clr) Sask Building Trades","(clr)SaskBuildingTrades"
"Safway@clrs.local","(clr) Safway","(clr)Safway"
"Saskpower@clrs.local","(clr) SaskPower","(clr)SaskPower"
"ScorpioMasonry@clrs.local","(clr) Scorpio Masonry","(clr)ScorpioMasonry"
"SheetMetalComm@clrs.local","(clr) Sheet Metal COMM","(clr)SheetMetalCOMM"
"SheetMetalIND@clrs.local","(clr) Sheet Metal IND","(clr)SheetMetalIND"
"SimElec@clrs.local","(clr) Sim Electric","(clr)SimElectric"
"SKYHIGH@clrs.local","(clr) Skyhigh","(clr)Skyhigh"
"Skylift@clrs.local","(clr) Skylift","(clr)Skylift"
"Skyline@clrs.local","(clr) Skyline Steel","(clr)SkylineSteel"
"SMW@clrs.local","(clr) SM&W","(clr)SM&W"
"Secon@clrs.local","(clr) South East Construction","(clr)SouthEastConstruction"
"SplitSteel@clrs.local","(clr) Split Steel","(clr)SplitSteel"
"StandardMechanical@clrs.local","(clr) Standard Mechanical","(clr)StandardMechanical"
"Steinhubl'sMasonry@clrs.local","(clr) Steinhubl's Masonry","(clr)Steinhubl'sMasonry"
"SterlingCrane@clrs.local","(clr) Sterling Crane","(clr)SterlingCrane"
"Suer&PollonMech@clrs.local","(clr) Suer & Pollon Mechanical","(clr)Suer&PollonMechanical"
"SunnyCorner@clrs.local","(clr) SunnyCorner Enterprises Inc.","(clr)SunnyCornerEnterprisesInc_"
"Supreme@clrs.local","(clr) Supreme Steel","(clr)SupremeSteel"
"Systems@clrs.local","(clr) Systems Scaffold","(clr)SystemsScaffold"
"TajIndustrial@clrs.local","(clr) Taj Industrial (TMIF) Ltd","(clr)TajIndustrial(TMIF)Ltd"
"TeamInd@clrs.local","(clr) Team Industrial","(clr)TeamIndustrial"
"Tesc@clrs.local","(clr) Tesc","(clr)Tesc"
"TESCO@clrs.local","(clr) Tesco","(clr)Tesco"
"ThorpeBros@clrs.local","(clr) Thorpe Bros","(clr)ThorpeBros"
"thorpecanada@clrs.local","(clr) Thorpe Canada","(clr)ThorpeCanada"
"ThorpeIndustries@clrs.local","(clr) Thorpe Roofing","(clr)ThorpeRoofing"
"ThyssenKrupp@clrs.local","(clr) ThyssenKrupp Elevator","(clr)ThyssenKruppElevator"
"Titan@clrs.local","(clr) Titan","(clr)Titan"
"TIWSteelPlate@clrs.local","(clr) TIW Steel Plate Inc","(clr)TIWSteelPlateInc"
"TPADistributionList@clrs.local","(clr) TPA Distribution List","(clr)TPADistributionList"
"Training-CODCOn-line@clrs.local","(clr) Training - CODC On-line","(clr)Training-CODCOn-line"
"UnionizedContractors2@clrs.local","(clr) Unionized Contractors","(clr)UnionizedContractors"
"Unistrut@clrs.local","(clr) Unistrut","(clr)Unistrut"
"VectorConst@clrs.local","(clr) Vector Construction","(clr)VectorConstruction"
"VSL@clrs.local","(clr) VSL Canada","(clr)VSLCanada"
"Waiward@clrs.local","(clr) Waiward Steel Fabricators","(clr)WaiwardSteelFabricators"
"WaltersAlbericiJV@clrs.local","(clr) Walters Alberici JV","(clr)WaltersAlbericiJV"
"WFS@clrs.local","(clr) WaltersField","(clr)WaltersField"
"Wee-Lift@clrs.local","(clr) Wee-Lift Cranes","(clr)Wee-LiftCranes"
"Westcor@clrs.local","(clr) Westcor Services","(clr)WestcorServices"
"WesternPacific@clrs.local","(clr) Western Pacific","(clr)WesternPacific"
"WSC@clrs.local","(clr) Western System Controls","(clr)WesternSystemControls"
"WhiskeyJack@clrs.local","(clr) Whiskey Jack Cranes","(clr)WhiskeyJackCranes"
"workready.cbtu@clrs.local","(clr) Work Ready Advisory Group","(clr)WorkReadyAdvisoryGroup"
"worleyparson@clrs.local","(clr) Worley Parsons","(clr)WorleyParsons"
"yara@clrs.local","(clr) Yara","(clr)Yara"
"Agra@clrs.local","(clr) Soletanche Bachy Canada(formerly Agra)","(clr)SBCanada"
"ArmaturesBoisFrancs@clrs.local","(clr) Armatures Bois-Francs Inc.","(clr)ArmaturesBois-FrancsInc_"
"Danrich@clrs.local","(clr) Danrich Environmental Control Systems Ltd.","(clr)DanrichEnvironmentalControlSystemsLtd_"
"Empire@clrs.local","(clr) Empire Iron Works","(clr)EmpireIronWorks"
"Roofer/SheetMetal@clrs.local","(clr) Roofer/Sheet Metal","(clr)Roofer_SheetMetal"
"MX2@clrs.local","(clr) MX2 Industrial","(clr)MX2Industrial"
"sbsadmins@clrs.local","(clr) Windows SBS Administrators","(clr)WindowsSBSAdministrators"
"allusers@clrs.local","(clr) All Users","(clr)AllUsers"
"WesternRefractory@clrs.local","(clr) Western Refractory","(clr)WesternRefractory"
"Transcanada@clrs.local","(clr) TransCanada","(clr)TransCanada"
"NiteHawk@clrs.local","(clr) Nite Hawk","(clr)NiteHawk"
"MicroInd@clrs.local","(clr) Micro Industrial","(clr)MicroIndustrial"
"HubCity@clrs.local","(clr) Hub City Steel","(clr)HubCitySteel"
"CapitolSteel@clrs.local","(clr) Capitol Steel","(clr)CapitolSteel"
"AdlerFire@clrs.local","(clr) Adler Firestopping","(clr) Adler Firestopping"
